iter	MAE
0	5.668793483
1	5.654011561
2	5.639295443
3	5.624659227
4	5.610148763
5	5.595694325
6	5.581301539
7	5.567051068
8	5.55284783
9	5.538694238
10	5.524613054
11	5.510630811
12	5.496763557
13	5.482921128
14	5.469176467
15	5.455576916
16	5.442033232
17	5.428540418
18	5.415162577
19	5.401795591
20	5.388412593
21	5.375056575
22	5.361764827
23	5.348573514
24	5.335539951
25	5.322495685
26	5.309554362
27	5.296810091
28	5.284048442
29	5.271339623
30	5.258625561
31	5.246027021
32	5.233454075
33	5.221052606
34	5.208791174
35	5.196522421
36	5.184222208
37	5.172049216
38	5.160162029
39	5.148177556
40	5.136317038
41	5.124394625
42	5.112594206
43	5.100772822
44	5.089003053
45	5.077466525
46	5.06604186
47	5.054427279
48	5.043118788
49	5.031733735
50	5.020411652
51	5.009125993
52	4.997881436
53	4.986784006
54	4.975675562
55	4.964587825
56	4.953574645
57	4.942595094
58	4.931787965
59	4.921035227
60	4.910321197
61	4.899713884
62	4.889034066
63	4.878488192
64	4.867881192
65	4.857473919
66	4.846953181
67	4.836509476
68	4.826341154
69	4.816119605
70	4.805814137
71	4.795692429
72	4.785655392
73	4.775497281
74	4.765419197
75	4.755456607
76	4.745461788
77	4.73555679
78	4.72573386
79	4.716012714
80	4.706202345
81	4.696430433
82	4.686635837
83	4.67706036
84	4.667410868
85	4.657794637
86	4.648232616
87	4.638641817
88	4.629121968
89	4.619785324
90	4.610406336
91	4.601046251
92	4.591800717
93	4.582532881
94	4.573262736
95	4.564050215
96	4.554918076
97	4.545830855
98	4.536675025
99	4.527701804
100	4.518524226
101	4.509712589
102	4.500536746
103	4.491402408
104	4.482446945
105	4.473353244
106	4.464450146
107	4.455784154
108	4.446970926
109	4.438191762
110	4.429510063
111	4.420581915
112	4.411826319
113	4.402954403
114	4.394129837
115	4.385493212
116	4.377041032
117	4.368513367
118	4.359942123
119	4.351507302
120	4.34319731
121	4.334721282
122	4.326367553
123	4.317861722
124	4.309521953
125	4.301299527
126	4.293021969
127	4.284815917
128	4.27648531
129	4.268341081
130	4.260060243
131	4.251898462
132	4.243783755
133	4.235752574
134	4.227521413
135	4.219434419
136	4.211391186
137	4.203502473
138	4.195552151
139	4.187784974
140	4.179908329
141	4.17194369
142	4.164006185
143	4.156051397
144	4.148319652
145	4.140555451
146	4.132704376
147	4.125187541
148	4.117591714
149	4.109788883
150	4.102007772
151	4.094122029
152	4.086419126
153	4.078614726
154	4.07106812
155	4.063498713
156	4.055891261
157	4.048199099
158	4.04047105
159	4.032715059
160	4.025295415
161	4.017888051
162	4.010260444
163	4.002842909
164	3.995177131
165	3.987694754
166	3.980172485
167	3.972579683
168	3.965301672
169	3.957879603
170	3.950582056
171	3.943075672
172	3.935607711
173	3.928515143
174	3.92103049
175	3.91381754
176	3.906399912
177	3.899203596
178	3.892080842
179	3.884980206
180	3.877847933
181	3.870558437
182	3.863225877
183	3.855860874
184	3.848629291
185	3.841422501
186	3.834277095
187	3.827063914
188	3.820111103
189	3.813054097
190	3.805919997
191	3.798692286
192	3.791731873
193	3.784672346
194	3.777740219
195	3.770604345
196	3.763674928
197	3.756548871
198	3.749481469
199	3.742544105
200	3.73560746
201	3.728563674
202	3.721662133
203	3.714742487
204	3.707896424
205	3.701352616
206	3.694481325
207	3.687691678
208	3.680857562
209	3.674333003
210	3.667730697
211	3.660890334
212	3.654363536
213	3.647498923
214	3.640640278
215	3.63396745
216	3.627155188
217	3.620482461
218	3.613831631
219	3.607186437
220	3.600600276
221	3.594317379
222	3.587784371
223	3.581479409
224	3.575153541
