iter	Passed	Remaining
0	47	476525
1	82	410158
2	119	396954
3	155	388704
4	192	384697
5	233	389560
6	270	386644
7	305	381739
8	343	380895
9	372	372280
10	411	373942
11	460	382925
12	498	383029
13	531	379174
14	564	375781
15	596	372022
16	628	369028
17	660	366202
18	692	364002
19	735	366777
20	780	370677
21	816	370234
22	848	368164
23	881	366582
24	914	364906
25	948	363960
26	987	364862
27	1026	365470
28	1067	367050
29	1105	367250
30	1143	367797
31	1180	367875
32	1218	368052
33	1260	369449
34	1299	369969
35	1336	369777
36	1369	368710
37	1402	367616
38	1435	366518
39	1467	365503
40	1503	365227
41	1537	364542
42	1571	363860
43	1606	363577
44	1642	363388
45	1682	363975
46	1725	365469
47	1767	366419
48	1807	367082
49	1844	366974
50	1880	366853
51	1914	366230
52	1952	366360
53	1987	366123
54	2013	364123
55	2046	363399
56	2079	362740
57	2111	361969
58	2146	361638
59	2179	361139
60	2213	360621
61	2246	360029
62	2280	359635
63	2315	359469
64	2353	359684
65	2392	360172
66	2418	358565
67	2456	358777
68	2497	359420
69	2536	359799
70	2570	359524
71	2604	359185
72	2638	358856
73	2673	358574
74	2707	358299
75	2743	358250
76	2777	357973
77	2810	357567
78	2845	357282
79	2878	356973
80	2914	356848
81	2956	357577
82	2997	358095
83	3030	357800
84	3064	357509
85	3101	357532
86	3135	357236
87	3169	357044
88	3203	356742
89	3237	356501
90	3272	356334
91	3305	356015
92	3339	355756
93	3374	355615
94	3410	355558
95	3448	355746
96	3486	355899
97	3524	356081
98	3563	356368
99	3595	355965
100	3628	355673
101	3660	355236
102	3694	354948
103	3728	354797
104	3761	354443
105	3793	354129
106	3827	353846
107	3859	353518
108	3892	353179
109	3927	353134
110	3966	353395
111	4004	353571
112	4038	353327
113	4070	352977
114	4106	352939
115	4140	352764
116	4173	352538
117	4205	352210
118	4237	351891
119	4270	351586
120	4302	351288
121	4336	351109
122	4370	350945
123	4406	350967
124	4445	351213
125	4484	351433
126	4522	351588
127	4561	351840
128	4599	351957
129	4631	351646
130	4664	351393
131	4697	351137
132	4730	350968
133	4764	350759
134	4796	350503
135	4829	350280
136	4862	350084
137	4894	349806
138	4932	349927
139	4965	349702
140	5004	349906
141	5036	349658
142	5070	349499
143	5103	349276
144	5138	349263
145	5171	349019
146	5204	348863
147	5227	347966
148	5262	347943
149	5295	347731
150	5328	347528
151	5360	347293
152	5393	347116
153	5432	347300
154	5473	347641
155	5510	347719
156	5540	347333
157	5580	347639
158	5614	347503
159	5646	347253
160	5679	347077
161	5713	346969
162	5745	346752
163	5779	346611
164	5812	346443
165	5844	346246
166	5879	346208
167	5917	346290
168	5951	346193
169	5993	346558
170	6025	346334
171	6058	346169
172	6090	345963
173	6124	345869
174	6157	345691
175	6194	345784
176	6226	345576
177	6260	345450
178	6302	345773
179	6336	345676
180	6370	345576
181	6405	345563
182	6443	345672
183	6485	345960
184	6521	346017
185	6559	346121
186	6600	346343
187	6633	346219
188	6666	346081
189	6700	345937
190	6732	345768
191	6766	345630
192	6799	345492
193	6831	345284
194	6863	345105
195	6896	344968
196	6934	345091
197	6968	344957
198	7017	345643
199	7050	345478
200	7083	345334
201	7117	345237
202	7155	345352
203	7189	345218
204	7222	345111
205	7255	344976
206	7289	344873
207	7322	344709
208	7355	344587
209	7388	344459
210	7426	344522
211	7465	344693
212	7505	344870
213	7545	345062
214	7584	345180
215	7619	345132
216	7655	345141
217	7688	344999
218	7720	344833
219	7743	344215
220	7775	344053
221	7808	343928
222	7840	343754
223	7873	343621
224	7909	343618
225	7944	343584
226	7979	343536
227	8020	343762
228	8053	343618
229	8086	343488
230	8118	343330
231	8151	343214
232	8186	343147
233	8218	342988
234	8251	342884
235	8284	342750
236	8318	342672
237	8352	342583
238	8385	342465
239	8423	342574
240	8464	342743
241	8503	342894
242	8546	343179
243	8588	343407
244	8622	343326
245	8659	343351
246	8693	343279
247	8726	343160
248	8760	343060
249	8781	342478
250	8814	342347
251	8846	342188
252	8878	342047
253	8916	342111
254	8949	342020
255	8984	341990
256	9027	342219
257	9060	342115
258	9093	341997
259	9126	341887
260	9159	341789
261	9193	341705
262	9225	341558
263	9258	341430
264	9290	341304
265	9323	341192
266	9356	341072
267	9389	340949
268	9428	341078
269	9469	341252
270	9507	341320
271	9545	341379
272	9579	341302
273	9611	341157
274	9643	341029
275	9677	340964
276	9710	340860
277	9744	340780
278	9777	340684
279	9810	340570
280	9843	340442
281	9876	340339
282	9914	340412
283	9948	340340
284	9981	340240
285	10023	340461
286	10058	340397
287	10091	340323
288	10125	340248
289	10158	340130
290	10190	339997
291	10223	339905
292	10256	339794
293	10289	339687
294	10322	339578
295	10354	339447
296	10386	339337
297	10423	339349
298	10462	339455
299	10500	339513
300	10540	339640
301	10575	339616
302	10610	339576
303	10643	339484
304	10679	339460
305	10717	339534
306	10750	339430
307	10783	339322
308	10816	339231
309	10849	339139
310	10886	339173
311	10920	339088
312	10954	339018
313	10999	339313
314	11033	339235
315	11066	339139
316	11099	339056
317	11132	338934
318	11165	338838
319	11197	338725
320	11232	338676
321	11264	338573
322	11296	338454
323	11329	338334
324	11361	338223
325	11394	338122
326	11432	338190
327	11473	338323
328	11513	338439
329	11553	338553
330	11591	338608
331	11624	338520
332	11658	338452
333	11691	338365
334	11724	338264
335	11757	338177
336	11790	338076
337	11823	337981
338	11858	337942
339	11896	337987
340	11931	337977
341	11963	337860
342	12009	338123
343	12042	338025
344	12075	337926
345	12111	337923
346	12143	337822
347	12176	337726
348	12208	337609
349	12242	337533
350	12274	337427
351	12309	337390
352	12335	337106
353	12368	337014
354	12400	336909
355	12438	336951
356	12476	337009
357	12517	337126
358	12558	337250
359	12596	337318
360	12630	337233
361	12663	337147
362	12695	337043
363	12728	336964
364	12761	336868
365	12794	336782
366	12826	336675
367	12862	336658
368	12896	336590
369	12929	336512
370	12962	336418
371	12995	336349
372	13040	336583
373	13073	336494
374	13106	336390
375	13141	336358
376	13174	336288
377	13207	336203
378	13240	336121
379	13273	336022
380	13305	335913
381	13337	335823
382	13370	335728
383	13403	335649
384	13439	335636
385	13477	335677
386	13517	335776
387	13558	335883
388	13597	335953
389	13631	335883
390	13664	335800
391	13696	335713
392	13730	335652
393	13765	335610
394	13805	335711
395	13845	335783
396	13885	335885
397	13926	335984
398	13964	336022
399	13997	335930
400	14044	336196
401	14077	336105
402	14110	336018
403	14143	335946
404	14178	335914
405	14215	335917
406	14249	335869
407	14282	335783
408	14314	335684
409	14348	335618
410	14381	335529
411	14420	335582
412	14457	335599
413	14497	335674
414	14531	335618
415	14564	335549
416	14598	335487
417	14632	335419
418	14665	335338
419	14698	335257
420	14730	335160
421	14762	335062
422	14795	334977
423	14829	334927
424	14867	334962
425	14902	334927
426	14935	334850
427	14969	334780
428	15002	334700
429	15053	335019
430	15086	334937
431	15120	334881
432	15155	334845
433	15187	334749
434	15220	334675
435	15252	334585
436	15284	334485
437	15321	334474
438	15353	334382
439	15385	334294
440	15421	334277
441	15459	334294
442	15501	334414
443	15536	334382
444	15569	334310
445	15603	334244
446	15637	334202
447	15670	334119
448	15705	334072
449	15737	333983
450	15770	333899
451	15802	333818
452	15840	333839
453	15874	333778
454	15908	333722
455	15940	333634
456	15973	333552
457	16006	333470
458	16053	333697
459	16087	333635
460	16120	333557
461	16152	333466
462	16184	333382
463	16217	333300
464	16250	333227
465	16283	333147
466	16316	333067
467	16349	332996
468	16381	332905
469	16415	332857
470	16449	332792
471	16487	332831
472	16526	332868
473	16560	332808
474	16593	332740
475	16627	332694
476	16663	332680
477	16697	332619
478	16729	332529
479	16761	332445
480	16794	332354
481	16830	332347
482	16863	332269
483	16896	332195
484	16930	332143
